code,trade_quote,time,time_actual,trade_price,open,high,low,ask_price_trade,bid_price_trade,ask_amount_trade,bid_amount_trade,change,volume,acc_volume,acc_buy_volume,acc_sell_volume,trade_buy_sell,trade_incoming_option,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_price_5,ask_amount_1,ask_amount_2,ask_amount_3,ask_amount_4,ask_amount_5,ask_amount_total,ask_count_1,ask_count_2,ask_count_3,ask_count_4,ask_count_5,ask_count_total,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_price_5,bid_amount_1,bid_amount_2,bid_amount_3,bid_amount_4,bid_amount_5,bid_amount_total,bid_count_1,bid_count_2,bid_count_3,bid_count_4,bid_count_5,bid_count_total
167R9,quote,150650,15:06:52.113584,,,,,,,,,,,,,,,,128.09,128.1,128.11,128.12,128.13,84,149,79,80,116,5509,8,15,19,14,15,735,128.08,128.07,128.06,128.05,128.04,18,45,43,178,140,5026,12,15,13,20,16,626
167R9,quote,150650,15:06:52.122524,,,,,,,,,,,,,,,,128.09,128.1,128.11,128.12,128.13,84,149,79,80,116,5509,8,15,19,14,15,735,128.08,128.07,128.06,128.05,128.04,20,45,43,178,140,5028,13,15,13,20,16,627
167R9,quote,150650,15:06:52.124554,,,,,,,,,,,,,,,,128.09,128.1,128.11,128.12,128.13,81,149,79,80,116,5506,7,15,19,14,15,734,128.08,128.07,128.06,128.05,128.04,20,45,43,178,140,5028,13,15,13,20,16,627
167R9,quote,150650,15:06:52.175377,,,,,,,,,,,,,,,,128.09,128.1,128.11,128.12,128.13,81,149,79,80,116,5506,7,15,19,14,15,734,128.08,128.07,128.06,128.05,128.04,31,45,43,178,140,5039,14,15,13,20,16,628
167R9,quote,150650,15:06:52.176376,,,,,,,,,,,,,,,,128.09,128.1,128.11,128.12,128.13,81,149,79,80,116,5506,7,15,19,14,15,734,128.08,128.07,128.06,128.05,128.04,36,45,43,178,140,5044,15,15,13,20,16,629
167R9,trade,150650,15:06:52.238211,128.09,128.44,128.45,127.99,128.1,128.08,149,36,-0.35,45666,45666,22184,23482,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167R9,quote,150650,15:06:52.241203,,,,,,,,,,,,,,,,128.1,128.11,128.12,128.13,128.14,149,79,80,116,124,5425,15,19,14,15,15,727,128.08,128.07,128.06,128.05,128.04,36,45,43,178,140,5044,15,15,13,20,16,629
167R9,quote,150650,15:06:52.243238,,,,,,,,,,,,,,,,128.1,128.11,128.12,128.13,128.14,149,79,80,116,124,5425,15,19,14,15,15,727,128.08,128.07,128.06,128.05,128.04,36,45,43,178,140,5044,15,15,13,20,16,629
167R9,quote,150650,15:06:52.246227,,,,,,,,,,,,,,,,128.1,128.11,128.12,128.13,128.14,149,79,80,116,124,5425,15,19,14,15,15,727,128.08,128.07,128.06,128.05,128.04,36,45,43,178,140,5044,15,15,13,20,16,629
167R9,quote,150650,15:06:52.249219,,,,,,,,,,,,,,,,128.1,128.11,128.12,128.13,128.14,149,79,80,116,124,5425,15,19,14,15,15,727,128.08,128.07,128.06,128.05,128.04,36,45,43,178,140,5044,15,15,13,20,16,629
167R9,quote,150650,15:06:52.252177,,,,,,,,,,,,,,,,128.1,128.11,128.12,128.13,128.14,149,79,80,116,124,5425,15,19,14,15,15,727,128.08,128.07,128.06,128.05,128.04,36,45,43,178,140,5044,15,15,13,20,16,629
167R9,quote,150650,15:06:52.254216,,,,,,,,,,,,,,,,128.1,128.11,128.12,128.13,128.14,148,79,80,116,124,5424,14,19,14,15,15,726,128.08,128.07,128.06,128.05,128.04,36,45,43,178,140,5044,15,15,13,20,16,629
